1 1 41 1 -99 1 565 1 3 110 119
1 1 41 2 2 1 492 0 -99 -99 95
1 1 41 3 -99 0 459 1 4 93 92
1 1 41 4 2 1 537 1 3 107 118
1 1 41 5 3 1 -99 1 5 105 106
1 1 41 6 -99 0 553 1 3 100 95
1 1 41 7 2 1 406 1 2 97 95
1 1 41 8 -99 0 399 1 1 99 105
1 1 41 9 2 1 457 -99 4 105 96
1 1 41 10 2 1 541 1 1 98 118
1 1 41 11 2 1 322 1 1 96 90
1 1 41 12 2 1 492 1 1 102 96
1 1 41 13 2 1 186 1 1 93 97
1 1 41 14 1 1 466 1 1 93 108
1 1 41 15 2 0 -99 1 3 98 88
1 1 41 16 2 1 494 1 1 101 107
1 1 41 17 2 1 296 1 2 93 85
1 1 41 18 2 0 466 -99 3 97 95
1 1 41 19 2 0 487 1 1 110 108
1 1 41 20 3 1 590 1 5 111 114
1 1 41 21 2 1 65 1 2 85 75
1 1 41 22 2 0 452 1 3 96 91
1 1 41 23 2 0 410 1 3 78 92
1 1 41 24 1 1 259 1 4 84 85
1 1 41 25 -99 0 410 1 4 91 99
1 1 41 26 2 0 368 1 3 76 86
1 1 41 27 2 1 480 1 3 101 102
1 1 41 28 2 0 483 1 5 103 103
1 1 41 29 2 0 553 1 5 107 94
1 1 41 30 -99 0 562 1 6 97 -99
1 1 41 31 2 1 525 1 5 97 86
1 1 41 32 2 0 516 -99 2 100 92
1 1 41 33 2 1 431 1 4 107 -99
1 1 41 34 2 0 534 0 4 98 103
1 1 41 35 2 0 450 -99 4 106 104
1 1 41 36 2 1 464 1 1 96 91
1 1 41 37 -99 1 427 -99 1 105 -99
1 1 41 38 2 1 373 1 3 107 102
1 1 41 39 2 0 368 1 3 92 103
1 1 41 40 2 0 523 1 5 100 100
1 1 41 41 2 1 396 1 3 86 75
1 1 41 42 2 1 443 1 4 101 95
1 1 41 43 2 0 305 0 -99 -99 95
1 1 41 44 -99 1 600 -99 -99 -99 88
2 0 12 45 1 0 448 -99 3 76 84
2 0 12 46 -99 0 424 1 -99 -99 96
2 0 12 47 2 1 562 1 6 100 -99
2 0 12 48 2 1 558 1 2 101 91
2 0 12 49 2 1 364 1 4 102 -99
2 0 12 50 2 1 511 1 4 97 -99
2 0 12 51 2 1 518 1 2 96 -99
2 0 12 52 2 1 450 1 2 97 98
2 0 12 53 -99 0 509 1 3 96 -99
2 0 12 54 2 0 448 1 5 99 -99
2 0 12 55 2 0 427 1 1 88 97
2 0 12 56 2 0 511 1 6 108 92
2 0 12 57 2 1 537 1 3 106 112
2 0 12 58 2 0 527 1 2 107 -99
2 0 12 59 2 1 509 1 6 86 103
2 0 12 60 2 1 436 1 6 97 114
2 0 12 61 2 1 429 1 6 102 -99
2 0 12 62 2 1 -99 -99 5 101 -99
2 0 12 63 2 1 422 1 6 100 -99
2 0 12 64 2 1 196 1 3 84 91
2 0 12 65 2 0 506 1 4 101 109
2 0 12 66 2 0 375 1 4 91 -99
2 0 12 67 2 1 319 0 6 96 85
2 0 12 68 2 1 455 1 2 100 109
2 0 12 69 2 1 392 1 4 97 97
2 0 12 70 2 1 424 1 5 96 91
2 0 12 71 -99 1 221 1 3 76 -99
2 0 12 72 2 1 415 1 5 101 -99
2 0 12 73 2 1 333 1 -99 -99 -99
2 0 12 74 2 1 480 1 5 104 -99
2 0 12 75 2 1 485 1 -99 -99 105
2 0 12 76 2 0 548 1 -99 -99 94
2 0 12 77 2 0 480 1 4 105 106
2 0 12 78 1 1 429 1 4 76 95
2 0 12 79 2 1 490 1 1 93 103
2 0 12 80 2 1 450 1 1 85 -99
2 0 12 81 2 0 471 1 6 93 112
2 0 12 82 2 1 408 1 -99 -99 -99
2 0 12 83 2 1 504 1 -99 -99 104
2 0 12 84 -99 0 478 0 4 101 -99
2 0 12 85 -99 0 532 1 -99 -99 94
3 1 42 86 -99 1 359 1 1 93 99
3 1 42 87 2 0 100 1 3 101 111
3 1 42 88 3 1 -99 1 3 104 105
3 1 42 89 2 0 546 1 6 92 -99
3 1 42 90 -99 0 471 1 4 97 -99
3 1 42 91 2 1 62 1 1 91 -99
3 1 42 92 2 1 448 1 3 100 109
